Leaf type	Flower petal color	Leaf arrangement	Leaf blade edges	Flower symmetry	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type (general)	Bulbils	Petal and sepal colors	Fringed petal edges	Inflorescence type	Flower description	Wings on fruit	Calyx symmetry	Growth form	Parasitism	Spines on plant
simple	green to brown or white or yellow	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	green to brown or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Conringia orientalis	Conringia	Brassicaceae	Brassicales
simple	blue to purple or pink to red	alternate or opposite or whorled	teeth or entire	bilaterally symmetrical	5	fused	4	dry & splits open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Linaria pinifolia	Linaria	Plantaginaceae	Lamiales
simple	pink to red	alternate or whorled	entire	radially symmetrical	5	unfused	3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	no bulbils	pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Lechea maritima	Lechea	Cistaceae	Malvales
simple	pink to red or white	alternate	entire	radially symmetrical	5	fused	5 or 6	dry & doesn't split open	no bulbils	pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Persicaria minor	Persicaria	Polygonaceae	Caryophyllales
simple	blue to purple or pink to red	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Anchusa officinalis	Anchusa	Boraginaceae	Boraginales
compound	white	alternate	teeth	radially symmetrical	4	unfused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Cardamine incisa	Cardamine	Brassicaceae	Brassicales
simple	pink to red	alternate	teeth or entire	bilaterally symmetrical	4	unfused	8	dry & doesn't split open	no bulbils	pink to red	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Oenothera curtiflora	Oenothera	Onagraceae	Myrtales
compound	pink to red or white	alternate	lobes	bilaterally symmetrical	4	unfused or fused	6	dry & splits open	no bulbils	pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Lamprocapnos spectabilis	Lamprocapnos	Papaveraceae	Ranunculales
compound	yellow	alternate	lobes or entire	asymmetrical	4	unfused or fused	6	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Corydalis flavula	Corydalis	Papaveraceae	Ranunculales
simple	white	alternate	entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Datura wrightii	Datura	Solanaceae	Solanales
simple	green to brown or yellow	alternate	entire	radially symmetrical	5	unfused	10	dry & splits open	no bulbils	green to brown or yellow	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Sedum acre	Sedum	Crassulaceae	Saxifragales
compound	white	alternate	lobes or entire	radially symmetrical	3	unfused	3 or 6	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Floerkea proserpinacoides	Floerkea	Limnanthaceae	Brassicales
compound or simple	yellow	alternate	lobes or entire	radially symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	?	herb	not parasitic	no spines or with spines	Foeniculum vulgare	Foeniculum	Apiaceae	Apiales
simple	white	alternate	teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Lepidium latifolium	Lepidium	Brassicaceae	Brassicales
simple	blue to purple or pink to red	alternate	teeth	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Heliotropium amplexicaule	Heliotropium	Boraginaceae	Boraginales
compound	pink to red	alternate	lobes	radially symmetrical	4	unfused	13	dry & splits open	no bulbils	pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Papaver dubium	Papaver	Papaveraceae	Ranunculales
compound or simple	yellow	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Barbarea stricta	Barbarea	Brassicaceae	Brassicales
simple	blue to purple	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	blue to purple	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Lappula squarrosa	Lappula	Boraginaceae	Boraginales
simple	white	basal	entire	radially symmetrical	5	unfused or fused	5	dry & splits open	no bulbils	white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	insectivorous or not parasitic	no spines or with spines	Drosera linearis	Drosera	Droseraceae	Caryophyllales
simple	other or pink to red or white	basal	teeth or entire	radially symmetrical or bilaterally symmetrical	5	unfused or fused	10	dry & splits open	no bulbils	other or pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Pyrola elliptica	Pyrola	Ericaceae	Ericales
simple	white	alternate or basal	entire	radially symmetrical	5	unfused or fused	5	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Parnassia glauca	Parnassia	Celastraceae	Celastrales
simple	white or yellow	alternate	lobes or teeth or entire	radially symmetrical or bilaterally symmetrical	4	unfused	6	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Aurinia saxatilis	Aurinia	Brassicaceae	Brassicales
simple	other or white	alternate	teeth	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	other or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Boechera canadensis	Boechera	Brassicaceae	Brassicales
compound	yellow	alternate	teeth	radially symmetrical	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Agrimonia gryposepala	Agrimonia	Rosaceae	Rosales
simple	blue to purple or white	alternate	lobes or teeth	radially symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Datura stramonium	Datura	Solanaceae	Solanales
simple	yellow	alternate	teeth	radially symmetrical	4	unfused	8	dry & splits open	no bulbils	yellow	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Oenothera grandiflora	Oenothera	Onagraceae	Myrtales
simple	yellow	alternate or opposite or whorled	teeth or entire	bilaterally symmetrical	5	fused	4	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Linaria genistifolia	Linaria	Plantaginaceae	Lamiales
simple	?	alternate or opposite	teeth	radially symmetrical	5 or 0	fused	5	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Atriplex glabriuscula	Atriplex	Amaranthaceae	Caryophyllales
simple	?	alternate	entire	radially symmetrical	0	?	1	dry & splits open or dry & doesn't split open	no bulbils	?	?	one flower or branched umbel or corymb or raceme	superior ovary	no wings	?	herb	not parasitic	no spines or with spines	Euphorbia cyparissias	Euphorbia	Euphorbiaceae	Malpighiales
compound	white	alternate	teeth	radially symmetrical	5	unfused	13	fleshy	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Fragaria vesca	Fragaria	Rosaceae	Rosales
simple	blue to purple or pink to red or white	alternate	lobes	radially symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Ipomoea hederacea	Ipomoea	Convolvulaceae	Solanales
simple	white	alternate	entire	radially symmetrical or bilaterally symmetrical	5	fused	5	dry & doesn't split open	no bulbils	white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Myosotis verna	Myosotis	Boraginaceae	Boraginales
simple	white	alternate or whorled	entire	radially symmetrical	5 or 6 or 7	unfused or fused	5 or 6 or 7 or 8 or 9	dry & splits open	no bulbils	white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Lysimachia borealis	Lysimachia	Primulaceae	Ericales
simple	green to brown or white	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	green to brown or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Onosmodium bejariense	Onosmodium	Boraginaceae	Boraginales
simple	blue to purple	basal	entire	radially symmetrical	5	unfused or fused	5	dry & splits open	no bulbils	blue to purple or pink to red	fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	insectivorous or not parasitic	no spines or with spines	Drosera filiformis	Drosera	Droseraceae	Caryophyllales
simple	green to brown or pink to red or white	alternate	entire	radially symmetrical	5	fused	8	dry & doesn't split open	no bulbils	green to brown or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Polygonum fowleri	Polygonum	Polygonaceae	Caryophyllales
simple	white	alternate	entire	radially symmetrical	4 or 5	fused	4 or 5	dry & splits open or dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	parasitic on other plants	no spines or with spines	Cuscuta polygonorum	Cuscuta	Convolvulaceae	Solanales
compound	yellow	alternate	teeth	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Ranunculus sardous	Ranunculus	Ranunculaceae	Ranunculales
simple	white or yellow	alternate	teeth	radially symmetrical	5	fused	13	dry & splits open or dry & doesn't split open or fleshy	no bulbils	white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Sida spinosa	Sida	Malvaceae	Malvales
compound	white	alternate	lobes or entire	radially symmetrical or bilaterally symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Bifora radians	Bifora	Apiaceae	Apiales
simple	blue to purple or green to brown or orange or other or pink to red or white or yellow	alternate	lobes	radially symmetrical	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open or dry & doesn't split open	no bulbils	blue to purple or green to brown or orange or other or pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Ricinus communis	Ricinus	Euphorbiaceae	Malpighiales
simple	yellow	alternate	lobes or entire	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Ranunculus allegheniensis	Ranunculus	Ranunculaceae	Ranunculales
simple	yellow	alternate	teeth or entire	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Ranunculus gmelinii	Ranunculus	Ranunculaceae	Ranunculales
compound	white	alternate	lobes or teeth or entire	radially symmetrical	5	unfused	5	dry & doesn't split open	with bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Cicuta bulbifera	Cicuta	Apiaceae	Apiales
simple	green to brown or pink to red or white	alternate	entire	radially symmetrical	5	fused	8	dry & doesn't split open	no bulbils	green to brown or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium or superior ovary or inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Fallopia scandens	Fallopia	Polygonaceae	Caryophyllales
simple	blue to purple or pink to red or white	alternate	teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	blue to purple or pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Arabis pycnocarpa	Arabis	Brassicaceae	Brassicales
simple	yellow	alternate	entire	radially symmetrical	4	unfused or fused	8	dry & splits open	no bulbils	yellow	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Oenothera perennis	Oenothera	Onagraceae	Myrtales
simple	green to brown	alternate	entire	radially symmetrical	4	unfused	1 or 3 or 4 or 5 or 6	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Oxyria digyna	Oxyria	Polygonaceae	Caryophyllales
simple	pink to red or white or yellow	alternate or opposite	teeth or entire	bilaterally symmetrical	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	fused	4	dry & splits open or dry & doesn't split open or fleshy	no bulbils	pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Sesamum orientale	Sesamum	Pedaliaceae	Lamiales
simple	white	alternate	teeth or entire	asymmetrical	4	unfused	6	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Boechera laevigata	Boechera	Brassicaceae	Brassicales
