Leaf type	Leaf arrangement	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type (general)	Flower description
compound or simple	alternate	5	unfused	10	dry & splits open	superior ovary & hypanthium or inferior ovary	Saxifraga rivularis	Saxifraga	Saxifragaceae	Saxifragales
compound	alternate	5	unfused	10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Potentilla simplex	Potentilla	Rosaceae	Rosales
simple	alternate	4	unfused	4	dry & splits open	inferior ovary	Ludwigia polycarpa	Ludwigia	Onagraceae	Myrtales
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Tropidocarpum gracile	Tropidocarpum	Brassicaceae	Brassicales
simple	alternate	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	0 or 3	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Axyris amaranthoides	Axyris	Amaranthaceae	Caryophyllales
compound or simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Hydrophyllum virginianum	Hydrophyllum	Boraginaceae	Boraginales
simple	alternate	4 or 5	unfused or fused	5	dry & splits open	superior ovary	Lysimachia minima	Lysimachia	Primulaceae	Ericales
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Lithospermum officinale	Lithospermum	Boraginaceae	Boraginales
compound	alternate	4	unfused or fused	6	dry & splits open	superior ovary	Capnoides sempervirens	Capnoides	Papaveraceae	Ranunculales
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Campanula patula	Campanula	Campanulaceae	Asterales
simple	opposite	5	unfused	10	dry & doesn't split open	superior ovary	Geranium carolinianum	Geranium	Geraniaceae	Geraniales
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum ptycanthum	Solanum	Solanaceae	Solanales
compound or simple	alternate	4	unfused	1	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Lepidium didymum	Lepidium	Brassicaceae	Brassicales
simple	alternate	5	unfused or fused	5 or 6 or 7 or 8	dry & doesn't split open	superior ovary	Bistorta officinalis	Bistorta	Polygonaceae	Caryophyllales
compound or simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Levisticum officinale	Levisticum	Apiaceae	Apiales
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Physalis longifolia	Physalis	Solanaceae	Solanales
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Sanicula odorata	Sanicula	Apiaceae	Apiales
simple	alternate or opposite	5	unfused or fused	5	dry & doesn't split open	superior ovary	Humulus lupulus	Humulus	Cannabaceae	Rosales
compound or simple	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Ranunculus acris	Ranunculus	Ranunculaceae	Ranunculales
simple	alternate	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open or dry & doesn't split open	superior ovary	Ricinus communis	Ricinus	Euphorbiaceae	Malpighiales
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Rorippa globosa	Rorippa	Brassicaceae	Brassicales
simple	alternate	4 or 5	unfused or fused	4 or 5 or 6 or 7 or 8	dry & doesn't split open	superior ovary	Persicaria maculosa	Persicaria	Polygonaceae	Caryophyllales
compound	alternate	4	unfused	6	dry & splits open	superior ovary	Cardamine pensylvanica	Cardamine	Brassicaceae	Brassicales
compound or simple	alternate	5	unfused	10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Geum rivale	Geum	Rosaceae	Rosales
simple	alternate	5	unfused or fused	8	dry & doesn't split open	superior ovary	Polygonum erectum	Polygonum	Polygonaceae	Caryophyllales
simple	alternate	4	unfused or fused	4	dry & splits open	superior ovary	Bartonia iodandra	Bartonia	Gentianaceae	Gentianales
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Amsonia tabernaemontana	Amsonia	Apocynaceae	Gentianales
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Anthriscus cerefolium	Anthriscus	Apiaceae	Apiales
simple	alternate	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Amaranthus macrocarpus	Amaranthus	Amaranthaceae	Caryophyllales
simple	alternate	6 or 7	unfused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Sedum hispanicum	Sedum	Crassulaceae	Saxifragales
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum melongena	Solanum	Solanaceae	Solanales
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Nicandra physalodes	Nicandra	Solanaceae	Solanales
