Leaf type	Leaf arrangement	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type (general)	Flower description
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Medicago sativa
compound or simple	alternate	5	unfused	10	dry & splits open	superior ovary & hypanthium or inferior ovary	Saxifraga rivularis
compound	alternate	5	unfused	10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Potentilla simplex
simple	alternate	4	unfused	4	dry & splits open	inferior ovary	Ludwigia polycarpa
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Tropidocarpum gracile
simple	alternate	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	0 or 3	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Axyris amaranthoides
compound or simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Hydrophyllum virginianum
simple	alternate	4 or 5	unfused or fused	5	dry & splits open	superior ovary	Lysimachia minima
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Lithospermum officinale
compound	alternate	4	unfused or fused	6	dry & splits open	superior ovary	Capnoides sempervirens
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Desmodium glabellum
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Vicia lathyroides
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Astragalus glycyphyllos
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Campanula patula
simple	opposite	5	unfused	10	dry & doesn't split open	superior ovary	Geranium carolinianum
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Melilotus albus
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum ptycanthum
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Phaseolus vulgaris
compound or simple	alternate	4	unfused	1	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Lepidium didymum
simple	alternate	5	unfused or fused	5 or 6 or 7 or 8	dry & doesn't split open	superior ovary	Bistorta officinalis
compound or simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Levisticum officinale
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Physalis longifolia
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Sanicula odorata
simple	alternate or opposite	5	unfused or fused	5	dry & doesn't split open	superior ovary	Humulus lupulus
compound or simple	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Ranunculus acris
