Habitat	Flower petal color	Leaf type	Leaf blade edges	Flower symmetry	Fusion of sepals and petals	Fruit type	Bulblets replace flowers	Carpels fused	Cleistogamous flowers	Corolla palate	Epicalyx	Flower description	Flower reproductive parts	Form of style	Hypanthium	Inner tepals (Rumex)	Marks on petals	Nectar spur	Ovary position	Petal and sepal colors	Petal appearance	Petal folds or pleats	Petal hairs (Viola)	Petal length relative to sepals	Petal tips (Cuscuta)	Reproductive system	Scales inside corolla	Sepal and petal color	Sepal appendages	Sepals fused only to sepals	Stamen attachment	Stamen position relative to petals	Stamens fused	Staminodes	Stigma position	Umbel flower reproductive parts	Upper lip of bilabiate corolla	Achene relative orientation	Achene shape	Achene surface (Polygonum)	Achene type	Berry color	Capsule color (Viola)	Fruit (pyxis) dehiscence	Fruit features (Brassicaceae)	Fruit type (specific)	Legumes (Fabaceae)	Mericarp segment shape (Desmodium)	Spots or streaks on berries	Ovary stipe	Rows of seeds in fruit (Brassicaceae)	Schizocarpic fruit compression	Seed relative length	Seed surface	Wings on fruit	Fruits with thorn-like defensive structures	Leaves have glandular dots or scales	Sap	Sap color	Growth form	Young leaf color	Spines on plant	Hairs on underside of leaf	Hairs on upper side of leaf	Leaf arrangement	Leaf blade base	Leaf blade base shape	Leaf blade hairs	Leaf blade shape	Leaf surface color	Leaf spines	Leaf stalks	Leaf stalk attaches to leaf	Leaf stalk base	Leaf teeth and lobes	Leaves per node	Pinnately compound leaves	Stipule features	Stipules	Branched tendrils	Hair between stem nodes	Leaves on flowering stem	Tendril origin	Tendrils	Corolla morphology	Inflorescence	Petal and sepal arrangement	Capsule ribs	Capsule splits	Leaf tip	Hairs between stem nodes	"Anther with pink, reddish, or purplish tint"	Calyx growth after flowering	Calyx symmetry	The petal margins have cilia	Filament surface	Flower orientation	Fringed petal edges	Hairs on flower stalk	Hairs on inflorescence axis	Perianth shape	Petal narrows at the base	Petal outline	Petal tip shape	Sepal appearance	Sepal color	Sepal shape	Sepal uniformity	Stamen lengths	The stigma protrudes beyond the mouth of the corolla	Fruit shape	Fruit stalk orientation	Hairs on fruit	Bracteoles	Floral bract texture	Floral bracts	Hairs on leaf stalk	Hooked hairs on underside of leaf	Inflated hairs on leaf	Leaf blade base symmetry	There is a noticeable powdery or waxy bloom on the underside of the leaf	Leaf blade flatness	Leaf blade primary vein pattern	Leaf blade texture	Leaf blade vein pattern	Leaf blade veins	Leaf hair orientation	The upper side of the leaf	Tufts (clusters) of small leaves in axils	Leaf appearance change from the base to further up on the stem	Leaf appearance along the stem	Leaflet petiolules	Stipels	Plant odor	Direction of stem hairs	Hooked hairs on stem between nodes	The stem has a powdery or waxy film on it that can be rubbed away	Stem nodes swollen	Stem orientation	Stem spacing	The petals have at least one nectary	Sepal texture	The stipule margins have teeth on them	The stipules are fused to the petioles for some or most of their length	The stems are succulent	Anther attachment	The sepals have cilia on their edges	Sepal special features	Sepal tip shape	Inflorescence type
terrestrial	blue to purple||white||yellow	simple	lobes||teeth and lobes||teeth	radially symmetrical	not fused||fused into a cup or tube	dry and splits open	no	fused	no	no	yes	superior ovary and no hypanthium	both pollen- and seed-producing parts	branched above the base	no	?	spots or stripes	no	above the point of petal  attachment	blue to purple||white||yellow	"thin, delicate, pigmented"	no	?	petals longer than sepals	?	synoecious: all flowers have carpels and stamens	no	is different	no	yes	attached at the bases of petals||not attached to petals	?	yes	no	at the tip of the style	?	?	?	?	?	?	?	?	?	?	splits along seams to release seeds (capsule)	?	?	?	no	?	?	same width and height||height is greater than width	smooth or without markings	no	no	no	clear and watery	clear	herb	green	yes	fuzzy or hairy	fuzzy or hairy	1 leaf per node (alternate)	has stalk (petiole)	heart-shaped with rounded lobes at the base (cordate)	simple hairs with no glands	widest near the middle and tapering at both ends (elliptic)||rectangular with rounded ends (oblong)||widest below the middle and broadly tapering at both ends (ovate)||spoon-shaped: narrow near the base suddenly widening to a rounded tip (spatulate)	uniform	no	yes	at the basal margin	is narrow where it attaches to the stem	outward-pointing teeth	one	?	?	yes	?	yes	at least one full leaf above the base	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Abelmoschus esculentus	Abelmoschus	Malvaceae	Malvales
terrestrial	blue to purple||orange	simple	lobes||teeth and lobes	radially symmetrical	fused into a cup or tube	?	no	fused	no	no	no	superior ovary and no hypanthium	both pollen- and seed-producing parts	branched above the base	no	?	spots or stripes	no	above the point of petal  attachment	blue to purple||orange	"thin, delicate, pigmented"	no	?	?	?	synoecious: all flowers have carpels and stamens	no	is different	no	yes	attached at the bases of petals	?	yes	no	at the tip of the style	?	?	?	?	?	?	?	?	?	?	splits into sections with one or more seeds each (schizocarp)	?	?	?	no	?	not flattened	?	?	no	no	no	clear and watery	clear	small shrub||herb	green	no	"fuzzy or hairy||not hairy, or with very few hairs"	"fuzzy or hairy||not hairy, or with very few hairs"	1 leaf per node (alternate)	has stalk (petiole)	heart-shaped with rounded lobes at the base (cordate)	?||branched hairs	roughly circular as wide as long (orbicular)||widest below the middle and broadly tapering at both ends (ovate)	"with spots, mottlers or stripes||uniform"	no	yes	at the basal margin	is narrow where it attaches to the stem	forward-pointing teeth||outward-pointing teeth	one	?	?	yes	?	no	at least one full leaf above the base	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	"tapers to a long, thin point (acuminate)"	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Abutilon pictum	Abutilon	Malvaceae	Malvales
terrestrial	orange||yellow	simple	teeth	radially symmetrical	not fused||fused into a cup or tube	dry and splits open||dry but does not split open	no	fused	no	no	no	superior ovary and no hypanthium	both pollen- and seed-producing parts	branched above the base	no	?	no marks	no	above the point of petal  attachment	orange||yellow	"thin, delicate, pigmented"	no	?	petals longer than sepals	?	synoecious: all flowers have carpels and stamens	no	is different	no	yes||no	attached at the bases of petals	?	yes	no	at the tip of the style	?	?	?	?	?	?	?	?	?	?	splits into sections with one or more seeds each (schizocarp)	?	?	?	no	?	not flattened	height is greater than width	with hairs||with tubercles of a different color or texture	no	no	no	clear and watery	clear	herb	green	yes	fuzzy or hairy	fuzzy or hairy	1 leaf per node (alternate)	has stalk (petiole)	heart-shaped with rounded lobes at the base (cordate)	simple hairs with no glands	"heart-shaped with backward-facing rounded lobes (cordate), or arrow-shaped with backward-facing pointed lobes (sagittate)||roughly circular as wide as long (orbicular)||widest below the middle and broadly tapering at both ends (ovate)"	uniform	no	yes	at the basal margin	is narrow where it attaches to the stem	rounded teeth	one	?	?	yes	?	yes	at least one full leaf above the base	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	"tapers to a long, thin point (acuminate)"	"plain, without glands or branches, and not tangled"	no	no	radially symmetrical	no	"smooth, with no hairs or scales"	points upwards||angled outwards	no	yes	hairs without glands	"?||bell-shaped, with a tube about as long as wide, flaring at the mouth (campanulate)||cup-shaped (cupuliform)"	gradually or does not narrow	egg-shaped with the widest point above the middle (obovate)	with a blunt or rounded apex and a notch at the center (retuse)||ends abruptly in a more or less straight line as though cut off (truncate)	"green or brown, and leaf-like in texture"	green to brown	widest below the middle and broadly tapering at both ends (ovate)	all about the same size	all approximately the same length	no	"like half a sphere (hemispherical)||with parallel sides that do not taper, and flat across the top and bottom (cylindrical)||spherical"	point upward or spread or curve outward	yes	no	?	no	yes	no	no	symmetrical	no	flat (planar) at the edges	the major veins radiate out from one point at the base	leafy (herbaceous)	"the major veins branch, but do not rejoin"	one main vein running from the base towards the tip	"flat against the leaf surface, mostly pointing towards the leaf tip"	is dull or slightly shiny	no	gradual	"all leaves are nearly similar in size, teeth, and length of stalks"	?	?	no	point mostly upwards to outwards	no	no	no	"upright or angled outwards||trail at the base, but may turn upwards at the tips"	solitary plant||a few plants are growing together	?	?	?	?	?	?	?	?	?	?	Abutilon theophrasti	Abutilon	Malvaceae	Malvales
terrestrial	?	simple	teeth||entire	radially symmetrical	?	dry and splits open	no	fused	no	?	no	superior ovary and no hypanthium	only pollen- or only seed-producing parts	two or more completely separate styles||branched above the base	no	?	?	no	above the point of petal  attachment	green to brown	?	?	?	?	?	"monoecious: each flower has either carpel or stamen, but both types on the same plant"	?	?	no	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	splits along seams to release seeds (capsule)	?	?	?	no	?	?	height is greater than width	smooth or without markings	no	no	no	clear and watery	clear	herb	green	no	fuzzy or hairy	fuzzy or hairy	1 leaf per node (alternate)	has stalk (petiole)	"wedge-shaped with straight, converging edges at the base (cuneate), or narrow||rounded at the base"	simple hairs with no glands	very narrow with more or less parallel sides (linear)||rectangular with rounded ends (oblong)	uniform	no	yes	at the basal margin	is narrow where it attaches to the stem	entire||rounded teeth	one	?	?	yes	?	yes	at least one full leaf above the base	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	"?||by three main valves, teeth or pores"	bluntly pointed (obtuse)	"plain, without glands or branches, and not tangled"	?	"yes, and it partially covers the fruit"	radially symmetrical	?	"smooth, with no hairs or scales"	?	?	?	?	?	?	?	?	?	green to brown||yellow	?	?	?	?	spherical	?	yes	?	"green, with a leaf-like texture"	yes	?	?	?	symmetrical	?	?	the secondary veins branch off at intervals from the primary vein	?	"the major veins branch, but do not rejoin"	three or more main veins that start at or near the leaf blade base and run from the base towards the tip	?	?	?	gradual	"all leaves are nearly similar in size, teeth, and length of stalks"	?	?	no	"pressed flat against the plant, pointing towards the tip||point mostly upwards to outwards"	no	?	?	upright or angled outwards	?	?	"very thin but flexible, like a membrane||leaf-like"	?	?	?	?	?	?	?	?	Acalypha gracilens	Acalypha	Euphorbiaceae	Malpighiales
terrestrial||wetlands	?	simple	teeth	radially symmetrical	?	dry and splits open	no	fused	no	?	no	superior ovary and no hypanthium	only pollen- or only seed-producing parts	branched above the base	no	?	?	no	above the point of petal  attachment	green to brown	?	?	?	?	?	"monoecious: each flower has either carpel or stamen, but both types on the same plant"	?	?	no	?	not attached to petals	?	yes	no	?	?	?	?	?	?	?	?	?	?	?	splits along seams to release seeds (capsule)	?	?	?	no	?	?	height is greater than width	smooth or without markings	no	no	no	clear and watery	clear	herb	green	no	fuzzy or hairy	fuzzy or hairy	1 leaf per node (alternate)	has stalk (petiole)	"wedge-shaped with straight, converging edges at the base (cuneate), or narrow||rounded at the base"	simple hairs with no glands	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||widest below the middle and broadly tapering at both ends (ovate)	uniform	no	yes	at the basal margin	is narrow where it attaches to the stem	outward-pointing teeth||rounded teeth	one	?	?	yes	?	no	at least one full leaf above the base	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	"?||by three main valves, teeth or pores"	bluntly pointed (obtuse)	no	?	?	?	?	"smooth, with no hairs or scales"	?	?	?	some of the hairs have glands	?	?	?	?	"green or brown, and leaf-like in texture"	?	?	?	?	?	spherical	?	yes	?	"green, with a leaf-like texture"	yes	?	no	no	symmetrical	no	flat (planar) at the edges	the secondary veins branch off at intervals from the primary vein	leafy (herbaceous)	"the major veins branch, but do not rejoin"	?	"flat against the leaf surface, mostly pointing towards the leaf tip"	is dull or slightly shiny	?	?	"all leaves are nearly similar in size, teeth, and length of stalks"	?	?	no	?	no	no	?	upright or angled outwards	?	?	"very thin but flexible, like a membrane||leaf-like"	?	?	?	?	?	?	?	?	Acalypha rhomboidea	Acalypha	Euphorbiaceae	Malpighiales
terrestrial||wetlands	?	simple	teeth	radially symmetrical	?	dry and splits open	no	fused	no	?	no	superior ovary and no hypanthium	only pollen- or only seed-producing parts	two or more completely separate styles||branched above the base	no	?	?	no	above the point of petal  attachment	green to brown	?	?	?	?	?	"monoecious: each flower has either carpel or stamen, but both types on the same plant"	?	?	no	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	splits along seams to release seeds (capsule)	?	?	?	no	?	?	height is greater than width	smooth or without markings	no	no	no	clear and watery	clear	herb	green	no	"fuzzy or hairy||not hairy, or with very few hairs"	"fuzzy or hairy||not hairy, or with very few hairs"	1 leaf per node (alternate)	has stalk (petiole)	"wedge-shaped with straight, converging edges at the base (cuneate), or narrow||rounded at the base"	simple hairs with no glands	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||widest below the middle and broadly tapering at both ends (ovate)	uniform	no	yes	at the basal margin	is narrow where it attaches to the stem	rounded teeth	one	?	?	yes	?	yes	at least one full leaf above the base	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	"?||by three main valves, teeth or pores"	bluntly pointed (obtuse)	"plain, without glands or branches, and not tangled"	?	"yes, and it partially covers the fruit"	radially symmetrical	?	"smooth, with no hairs or scales"	?	?	?	?	?	?	?	?	?	green to brown||yellow	?	?	?	?	spherical	?	yes	?	"green, with a leaf-like texture"	yes	?	?	?	symmetrical	?	?	the secondary veins branch off at intervals from the primary vein	?	"the major veins branch, but do not rejoin"	three or more main veins that start at or near the leaf blade base and run from the base towards the tip	?	?	?	gradual	"all leaves are nearly similar in size, teeth, and length of stalks"	?	?	no	"pressed flat against the plant, pointing towards the tip||point mostly upwards to outwards"	no	?	?	upright or angled outwards	?	?	"very thin but flexible, like a membrane||leaf-like"	?	?	?	?	?	?	?	?	Acalypha virginica	Acalypha	Euphorbiaceae	Malpighiales
terrestrial	blue to purple||white	simple	teeth	bilaterally symmetrical	not fused	dry and splits open	no	?	no	no	no	superior ovary and no hypanthium	?	narrow at the tip and unbranched	no	?	?	no	above the point of petal  attachment	blue to purple||white	"thin, delicate, pigmented"	?	?	?	?	?	no	is different	no	?	not attached to petals	?	?	?	?	?	?	?	?	?	?	?	?	?	?	one ovary splits along one side to release the seeds (follicle)	?	?	?	?	?	?	?	?	no	no	no	clear and watery	clear	herb	green	no	"not hairy, or with very few hairs"	?	1 leaf per node (alternate)	has stalk (petiole)	rounded at the base	?	very narrow with more or less parallel sides (linear)||rectangular with rounded ends (oblong)	uniform	no	?	at the basal margin	is narrow where it attaches to the stem	?	one	?	?	no	?	yes	at least one full leaf above the base	?	no	?	?	two cycles	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Aconitum napellus	Aconitum	Ranunculaceae	Ranunculales
terrestrial	blue to purple	simple	lobes||teeth and lobes||teeth	bilaterally symmetrical	not fused	dry and splits open	no	?	no	no	no	superior ovary and no hypanthium	?	narrow at the tip and unbranched	no	?	?	no	above the point of petal  attachment	blue to purple	"thin, delicate, pigmented"	?	?	?	?	?	no	is different	no	?	not attached to petals	?	?	?	?	?	?	?	?	?	?	?	?	?	?	one ovary splits along one side to release the seeds (follicle)	?	?	?	?	?	?	?	?	no	no	no	clear and watery	clear	?	green	no	"fuzzy or hairy||not hairy, or with very few hairs"	?	1 leaf per node (alternate)	has stalk (petiole)	ends abruptly in a straight line as though cut off (truncate)	?	triangular with the stalk or attachment point on one of the sides	uniform	no	?	at the basal margin	is narrow where it attaches to the stem	?	one	?	?	no	?	yes	at least one full leaf above the base	?	no	?	?	two cycles	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Aconitum uncinatum	Aconitum	Ranunculaceae	Ranunculales
terrestrial	?	compound	lobes||teeth and lobes||teeth	radially symmetrical	not fused	fleshy	no	fused	no	no	no	superior ovary and no hypanthium	both pollen- and seed-producing parts	?	no	?	no marks	no	above the point of petal  attachment	white	?	?||no	?	?	?	synoecious: all flowers have carpels and stamens	?	is different	no	no	not attached to petals	?	no	no	?	?	?	?	?	?	?	red||white	?	?	?	fleshy with the wall enclosing sections each  with two or more seeds (berry)	?	?	no	?	?	?	height is greater than width	?	no	no	no	clear and watery	clear	herb	green	no	"fuzzy or hairy||not hairy, or with very few hairs"	"not hairy, or with very few hairs"	1 leaf per node (alternate)	has stalk (petiole)	"wedge-shaped with straight, converging edges at the base (cuneate), or narrow||rounded at the base"	simple hairs with no glands	widest near the middle and tapering at both ends (elliptic)||widest below the middle and broadly tapering at both ends (ovate)	uniform	no	yes	at the basal margin	is narrow where it attaches to the stem	rounded teeth||lobes that radiate from the base like a hand	one	have a terminal leaflet (odd number of leaflets per axis)	?	no	?	no	at least one full leaf above the base	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	sharply pointed (acute)	no	no	?	?	?	"smooth, with no hairs or scales"	?	no	?	hairs without glands	?	abruptly	"egg-shaped with the widest point above the middle (obovate)||spoon-shaped: narrow near the base, then suddenly widening to a rounded tip (spatulate)"	with a blunt or rounded apex and a notch at the center (retuse)||ends abruptly in a more or less straight line as though cut off (truncate)	resemble petals in color and texture	?||green to brown||white	"roughly circular, as wide as long"	all about the same size	?	?	widest in the middle and tapering to each end (ellipsoid)||spherical	?	no	yes	"green, with a leaf-like texture"	yes	no	yes	no	symmetrical	no	flat (planar) at the edges	the secondary veins branch off at intervals from the primary vein	leafy (herbaceous)	"the major veins branch, but do not rejoin"	one main vein running from the base towards the tip	?	is dull or slightly shiny	?	?	"all leaves are nearly similar in size, teeth, and length of stalks"	yes	?	no	?	no	yes	?	upright or angled outwards	?	no	?	?	?	no	?	?	?	?	?	Actaea pachypoda	Actaea	Ranunculaceae	Ranunculales
terrestrial	?	compound	lobes||teeth and lobes||teeth	radially symmetrical	not fused	dry and splits open	no	fused	no	?	no	superior ovary and no hypanthium	?	narrow at the tip and unbranched	no	?	?	no	above the point of petal  attachment	green to brown||white	?	?||no	?	?	?	?	?	is different	no	?	not attached to petals	?	?	?	?	?	?	?	?	?	?	?	?	?	?	one ovary splits along one side to release the seeds (follicle)	?	?	?	?	?	?	?	?	no	no	no	clear and watery	clear	?	green	no	"not hairy, or with very few hairs"	?	1 leaf per node (alternate)	has stalk (petiole)	"wedge-shaped with straight, converging edges at the base (cuneate), or narrow"	?	roughly circular as wide as long (orbicular)||widest below the middle and broadly tapering at both ends (ovate)	uniform	no	?	at the basal margin	is narrow where it attaches to the stem	?	one	have a terminal leaflet (odd number of leaflets per axis)	?	no	?	no	at least one full leaf above the base	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	?	?	?	no	?	?	?	?	"smooth, with no hairs or scales"	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Actaea racemosa	Actaea	Ranunculaceae	Ranunculales
