Habitat	terrestrial	wetlands	aquatic																																																																				
Habitat	terrestrial	wetlands	aquatic																																																																				
Flower petal color	blue to purple	white	yellow	orange	pink to red	green to brown	other	NA																																																															
Flower petal color	blue to purple	white	yellow	orange	pink to red	green to brown	?	?																																																															
Leaf type	simple	compound	NA																																																																				
Leaf type	simple	compound	?																																																																				
Leaf blade edges	lobes	teeth and lobes	teeth	entire	NA																																																																		
Leaf blade edges	lobes	teeth and lobes	teeth	entire	?																																																																		
Flower symmetry	radially symmetrical	bilaterally symmetrical	NA	there is no way to evenly divide the flower (the flower is asymmetrical)																																																																			
Flower symmetry	radially symmetrical	bilaterally symmetrical	NA	asymmetrical																																																																			
"Number of sepals, petals or tepals"	5	4	3	>=7	6	0	2	1																																																															
"Number of sepals, petals or tepals"	5	4	3	>=7	6	0	2	1																																																															
Fusion of sepals and petals	not fused	fused into a cup or tube	NA																																																																				
Fusion of sepals and petals	not fused	fused into a cup or tube	?																																																																				
Stamen number	>=13	5	10	11	12	8	9	6	7	4	0	3	1	2	NA																																																								
Stamen number	>=13	5	10	11	12	8	9	6	7	4	0	3	1	2	?																																																								
Fruit type	dry and splits open	dry but does not split open	fleshy	NA																																																																			
Fruit type	dry and splits open	dry but does not split open	fleshy	?																																																																			
Fruit length (mm)	60^250	12	2	Up to 2	6.5^9	5^10	5^11	10	3^4	0.7^1	3^3.3	0.15^0.3	0.4^0.5	0.25^0.4	0.35^0.45	20^30	0.1^0.15	20^80	Up to 8	2^5	1.3^1.7	1.7^2.5	1.2^3	2.5^4	1.5^2.5	2^2.5	2^3	1.5^2	1.5^3	4^6	1^1.6	15^40	2^3.5	2.5^3	80^120	5^9	3^6	4^6.5	4^7	25^30	7^9	6^10	15	60^120	1.3^2	15^31	0.3^2.6	15^45	8^18	12^35	30^50	5^6	20^45	24^45	2.5	8^16	10^20	5^13	30^40	13^25	6^8	1.2^4	1^2.5	3.5^9	30^60	20^50	7^15	25^45	12^30	45^80	10^45
