Value ID	Value
0	?
1	terrestrial
2	wetlands
3	aquatic
4	blue to purple
5	white
6	yellow
7	orange
8	pink to red
9	green to brown
10	simple
11	compound
12	lobes
13	teeth and lobes
14	teeth
15	entire
16	radially symmetrical
17	bilaterally symmetrical
18	asymmetrical
19	not fused
20	fused into a cup or tube
21	dry and splits open
22	dry but does not split open
23	fleshy
24	no
25	yes
26	fused
27	solitary
28	some
29	superior ovary and no hypanthium
30	inferior ovary, with or without hypanthium
31	superior ovary and hypanthium
32	both pollen- and seed-producing parts
33	only pollen- or only seed-producing parts
34	branched above the base
35	two or more completely separate styles
36	narrow at the tip and unbranched
37	lobed at the tip, and unbranched
38	knob-like at the tip, and unbranched
39	unbranched, but has two or more narrow appendages
40	mostly 5-merous
41	mostly 4-merous
42	1 tepal has tubercle
43	2-3 tepals have tubercles
44	no tubercles
45	have teeth or spines
46	tubercle extends to >= 1/3 of the flower
47	tubercle  extends below the base of tepal
48	spots or stripes
49	no marks
50	above the point of petal  attachment
51	below the point of petal attachment
52	thin, delicate, pigmented
53	thin, delicate, pigmented and petals are 3-5 mm long
54	thin, delicate, pigmented and petals are 6-8 mm long
55	green and/or leefy in texture
56	side petals with narrow hairs
57	spurred petals are hairless
58	side petals with knob-shaped hairs
59	spurred petals hairy
60	side petals are hairless
61	petals longer than sepals
62	petals about same size as sepals
63	petals shorter than sepals
64	straihgt or slunt outwards
65	curled inwards
66	synoecious: all flowers have carpels and stamens
67	monoecious: each flower has either carpel or stamen, but both types on the same plant
68	dioecious: all the flowers of the same plant have either carpel or stamen
69	polygamous: flowers with both carpels and stamens, with only carpels or stamens, all in the same plant
70	is different
71	is similar
72	attached at the bases of petals
73	not attached to petals
74	lined up with sepals
75	lined up with petals
76	at the tip of the style
77	on the inner surface of the style
78	in lines on the ovary
79	all the flowers have both carpels and stamens
80	some or all the flowers have stamens only
81	with 2 lobes
82	with 1 lobe
83	perpendicular to the plane of the perianth (vertical)
84	parallel to the plane of the perianth (horizontal)
85	circular
86	oval
87	with tiny rounded bumps or projections (papillose)
88	with tiny rounded bumps or projections plus parallel lines or ridges (striate-papillose)
89	smooth
90	with irregular bumps (rough)
91	with fine-grained irregularities (slightly rough)
92	dry, indehiscent, and usually one-seeded fruit (achene)
93	pericarp is loosely attached and often readily removed (utricle)
94	red
95	purple
96	green
97	brown
98	blue
99	entirely green
100	spotted or tinted with red to purple-brown
101	splits on or near the middle
102	bursts open or shatters without a clear seam
103	splits below the middle
104	splits above the middle
105	the surface is wrinkled (reticulate), or covered with bumps (tuberculate)
106	with elongate beak at the tip that does not split open
107	do not split open at maturity (indehiscent)
108	base of the fruit notched or cordate
109	base of fruit truncate to rounded
110	splits along seams to release seeds (capsule)
111	splits into sections with one or more seeds each (schizocarp)
112	one ovary splits along one side to release the seeds (follicle)
113	fleshy with the wall enclosing sections each  with two or more seeds (berry)
114	dry usually one-seeded does not split open (achene)
115	elongated height/width >= 3 and dehisces by two valves leaving  persistent replum to which seeds are attached (silique)
116	elongated but height/width < 3 (silicle)
117	splits around the middle and the top falls off exposing the (pyxis)
118	splits into two valves, but has a single carpel like a pea pod (legume)
119	fleshy, with  firm inner ovary wall that encloses a single seed (drupe)
120	dry and indehiscent, with a hard wall, usually containing only one seed (nut)
121	composed of multiple fused ovaries from one flower (aggregate)
122	with valves that split elastically and coil
123	coiled in spirals before they split or fall
124	with internal partitions arranged cross-wise along the fruit
125	with prickles
126	with prickles on nutlets in a single row
127	with prickles on nutlets in 2 rows
128	rounded on the lower margin
129	roughly triangular on the lower margin
130	1 row of seeds in each locule
131	>=2 rows of seeds in each locule
132	not flattened
133	flattened perpendicular to the commissure
134	flattened parallel to the commissure
135	same width and height
136	height is greater than width
137	smooth or without markings
138	with hairs
139	with tubercles of a different color or texture
140	with parallel ridges (ribbed)
141	no hair
142	with a netlike pattern
143	with short, round or cylindrical projections (papillae)
144	with pits or depressions
145	with glands that produce a sticky or greasy substance
146	clear and watery
147	milky and opaque
148	clear
149	not white
150	herb
151	small shrub
152	vine
153	not green
154	fuzzy or hairy
155	not hairy, or with very few hairs
156	1 leaf per node (alternate)
157	2 leaves per node (opposite)
158	at the base of the plant (basal)
159	>=3 leaves per node (whorled)
160	no apparent leaves
161	has stalk (petiole)
162	has no stalk
163	clasps the stem at the base
